"date","program_type","vacancies_per_day","beds_per_day","vacant_per_day"
"2019-07-01T00:00:00.000","Crisis Shelters","45","246","0.18"
"2019-07-01T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-01T00:00:00.000","Transitional Independent Living (TIL)","85","450","0.19"
"2019-07-02T00:00:00.000","Crisis Shelters","42","246","0.17"
"2019-07-02T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-02T00:00:00.000","Transitional Independent Living (TIL)","83","450","0.18"
"2019-07-03T00:00:00.000","Crisis Shelters","46","246","0.19"
"2019-07-03T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-03T00:00:00.000","Transitional Independent Living (TIL)","84","450","0.19"
"2019-07-04T00:00:00.000","Crisis Shelters","47","246","0.19"
"2019-07-04T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-04T00:00:00.000","Transitional Independent Living (TIL)","83","450","0.18"
"2019-07-05T00:00:00.000","Crisis Shelters","41","246","0.17"
"2019-07-05T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-05T00:00:00.000","Transitional Independent Living (TIL)","83","450","0.18"
"2019-07-06T00:00:00.000","Crisis Shelters","43","246","0.17"
"2019-07-06T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-06T00:00:00.000","Transitional Independent Living (TIL)","83","450","0.18"
"2019-07-07T00:00:00.000","Crisis Shelters","41","246","0.17"
"2019-07-07T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-07T00:00:00.000","Transitional Independent Living (TIL)","83","450","0.18"
"2019-07-08T00:00:00.000","Crisis Shelters","50","246","0.2"
"2019-07-08T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-08T00:00:00.000","Transitional Independent Living (TIL)","85","450","0.19"
"2019-07-09T00:00:00.000","Crisis Shelters","41","246","0.17"
"2019-07-09T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-09T00:00:00.000","Transitional Independent Living (TIL)","86","450","0.19"
"2019-07-10T00:00:00.000","Crisis Shelters","37","246","0.15"
"2019-07-10T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-10T00:00:00.000","Transitional Independent Living (TIL)","87","450","0.19"
"2019-07-11T00:00:00.000","Crisis Shelters","37","246","0.15"
"2019-07-11T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-11T00:00:00.000","Transitional Independent Living (TIL)","89","450","0.2"
"2019-07-12T00:00:00.000","Crisis Shelters","33","246","0.13"
"2019-07-12T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-12T00:00:00.000","Transitional Independent Living (TIL)","131","485","0.27"
"2019-07-13T00:00:00.000","Crisis Shelters","34","246","0.14"
"2019-07-13T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-13T00:00:00.000","Transitional Independent Living (TIL)","133","485","0.27"
"2019-07-14T00:00:00.000","Crisis Shelters","35","246","0.14"
"2019-07-14T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-14T00:00:00.000","Transitional Independent Living (TIL)","133","485","0.27"
"2019-07-15T00:00:00.000","Crisis Shelters","36","246","0.15"
"2019-07-15T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-15T00:00:00.000","Transitional Independent Living (TIL)","140","491","0.29"
"2019-07-16T00:00:00.000","Crisis Shelters","40","246","0.16"
"2019-07-16T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-16T00:00:00.000","Transitional Independent Living (TIL)","135","491","0.27"
"2019-07-17T00:00:00.000","Crisis Shelters","37","246","0.15"
"2019-07-17T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-17T00:00:00.000","Transitional Independent Living (TIL)","128","491","0.26"
"2019-07-18T00:00:00.000","Crisis Shelters","38","246","0.15"
"2019-07-18T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-18T00:00:00.000","Transitional Independent Living (TIL)","128","491","0.26"
"2019-07-19T00:00:00.000","Crisis Shelters","29","246","0.12"
"2019-07-19T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-19T00:00:00.000","Transitional Independent Living (TIL)","126","491","0.26"
"2019-07-20T00:00:00.000","Crisis Shelters","31","246","0.13"
"2019-07-20T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-20T00:00:00.000","Transitional Independent Living (TIL)","125","491","0.25"
"2019-07-21T00:00:00.000","Crisis Shelters","31","246","0.13"
"2019-07-21T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-21T00:00:00.000","Transitional Independent Living (TIL)","125","491","0.25"
"2019-07-22T00:00:00.000","Crisis Shelters","30","246","0.12"
"2019-07-22T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-22T00:00:00.000","Transitional Independent Living (TIL)","124","491","0.25"
"2019-07-23T00:00:00.000","Crisis Shelters","32","246","0.13"
"2019-07-23T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-23T00:00:00.000","Transitional Independent Living (TIL)","125","491","0.25"
"2019-07-24T00:00:00.000","Crisis Shelters","35","246","0.14"
"2019-07-24T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-24T00:00:00.000","Transitional Independent Living (TIL)","123","491","0.25"
"2019-07-25T00:00:00.000","Crisis Shelters","39","246","0.16"
"2019-07-25T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-25T00:00:00.000","Transitional Independent Living (TIL)","123","491","0.25"
"2019-07-26T00:00:00.000","Crisis Shelters","29","246","0.12"
"2019-07-26T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-26T00:00:00.000","Transitional Independent Living (TIL)","120","491","0.24"
"2019-07-27T00:00:00.000","Crisis Shelters","32","246","0.13"
"2019-07-27T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-27T00:00:00.000","Transitional Independent Living (TIL)","119","491","0.24"
"2019-07-28T00:00:00.000","Crisis Shelters","36","246","0.15"
"2019-07-28T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-28T00:00:00.000","Transitional Independent Living (TIL)","119","491","0.24"
"2019-07-29T00:00:00.000","Crisis Shelters","33","246","0.13"
"2019-07-29T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-29T00:00:00.000","Transitional Independent Living (TIL)","120","491","0.24"
"2019-07-30T00:00:00.000","Crisis Shelters","36","246","0.15"
"2019-07-30T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-30T00:00:00.000","Transitional Independent Living (TIL)","122","491","0.25"
"2019-07-31T00:00:00.000","Crisis Shelters","33","246","0.13"
"2019-07-31T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-07-31T00:00:00.000","Transitional Independent Living (TIL)","124","491","0.25"
"2019-08-01T00:00:00.000","Crisis Shelters","34","246","0.14"
"2019-08-01T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-01T00:00:00.000","Transitional Independent Living (TIL)","124","491","0.25"
"2019-08-02T00:00:00.000","Crisis Shelters","35","246","0.14"
"2019-08-02T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-02T00:00:00.000","Transitional Independent Living (TIL)","123","491","0.25"
"2019-08-03T00:00:00.000","Crisis Shelters","40","246","0.16"
"2019-08-03T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-03T00:00:00.000","Transitional Independent Living (TIL)","120","491","0.24"
"2019-08-04T00:00:00.000","Crisis Shelters","40","246","0.16"
"2019-08-04T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-04T00:00:00.000","Transitional Independent Living (TIL)","121","491","0.25"
"2019-08-05T00:00:00.000","Crisis Shelters","39","246","0.16"
"2019-08-05T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-05T00:00:00.000","Transitional Independent Living (TIL)","121","491","0.25"
"2019-08-06T00:00:00.000","Crisis Shelters","39","246","0.16"
"2019-08-06T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-06T00:00:00.000","Transitional Independent Living (TIL)","123","491","0.25"
"2019-08-07T00:00:00.000","Crisis Shelters","43","246","0.17"
"2019-08-07T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-07T00:00:00.000","Transitional Independent Living (TIL)","119","491","0.24"
"2019-08-08T00:00:00.000","Crisis Shelters","42","246","0.17"
"2019-08-08T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-08T00:00:00.000","Transitional Independent Living (TIL)","119","493","0.24"
"2019-08-09T00:00:00.000","Crisis Shelters","43","246","0.17"
"2019-08-09T00:00:00.000","Transitional Independent Living (HYA)","25","25","1"
"2019-08-09T00:00:00.000","Transitional Independent Living (TIL)","120","493","0.24"
"2019-08-10T00:00:00.000","Crisis Shelters","42","246","0.17"
