"month","dhs_bld_id","shelter_name_all","landlord","borough","facility_type","capacity","highpriority_closed_monthly_dob","highpriority_new_monthly_dob","highpriority_open_monthly_dob","highpriority_closed_monthly_hpd","highpriority_new_monthly_hpd","highpriority_open_monthly_hpd","highpriority_closed_monthly_fdny","highpriority_new_monthly_fdny","highpriority_open_monthly_fdny","highpriority_closed_monthly_dohmh","highpriority_new_monthly_dohmh","highpriority_open_monthly_dohmh","mediumpriority_closed_monthly_dob","mediumpriority_new_monthly_dob","mediumpriority_open_monthly_dob","mediumpriority_closed_monthly_hpd","mediumpriority_new_monthly_hpd","mediumpriority_open_monthly_hpd","mediumpriority_closed_monthly_fdny","mediumpriority_new_monthly_fdny","mediumpriority_open_monthly_fdny","mediumpriority_closed_monthly_dohmh","mediumpriority_new_monthly_dohmh","mediumpriority_open_monthly_dohmh","lowestpriority_closed_monthly_dob","lowestpriority_new_monthly_dob","lowestpriority_open_monthly_dob","lowestpriority_closed_monthly_hpd","lowestpriority_new_monthly_hpd","lowestpriority_open_monthly_hpd","lowestpriority_closed_monthly_fdny","lowestpriority_new_monthly_fdny","lowestpriority_open_monthly_fdny","lowestpriority_closed_monthly_dohmh","lowestpriority_new_monthly_dohmh","lowestpriority_open_monthly_dohmh","commissionerorder_closed_monthly_dob","commissionerorder_new_monthly_dob","commissionerorder_open_monthly_dob","commissionerorder_closed_monthly_hpd","commissionerorder_new_monthly_hpd","commissionerorder_open_monthly_hpd","commissionerorder_closed_monthly_fdny","commissionerorder_new_monthly_fdny","commissionerorder_open_monthly_fdny","commissionerorder_closed_monthly_dohmh","commissionerorder_new_monthly_dohmh","commissionerorder_open_monthly_dohmh"
"2022-12-01T00:00:00.000","506454","Bld ID: 506454 -- SKYWAY SHELTER, Acacia Network Housing, Adult Commercial Hotel -- Manhattan","PARK AVENUE HOSPITALITY LLC","Manhattan","Adult Commercial Hotel","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","497408","Bld ID: 497408 -- Sackett Rapid Re-Housing Center, Westhab, Inc, Adult Shelter -- Brooklyn","X SC PROP OWNER LLC","Brooklyn","Adult Shelter","205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"2022-12-01T00:00:00.000","549165","Bld ID: 549165 -- Bronx Family Housing Queens Hotels, BRONX FAMILY NETWORK INC, Family Commercial Hotel -- Queens","X HOSPITALITY LLC","Queens","Family Commercial Hotel","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","219904","Bld ID: 219904 -- XXnd Street Womens Center, Care For The Homeless, Adult Shelter -- Manhattan","XX-xx WEST 52 LLC","Manhattan","Adult Shelter","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","503613","Bld ID: 503613 -- Eldert Lane Shelter, Institute For Community Living, Adult Commercial Hotel -- Queens","PRIYA HOSPITALITY LLC","Queens","Adult Commercial Hotel","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","545280","Bld ID: 545280 -- ACACIA QUEENS HOTELS, Acacia Network Housing, Family Commercial Hotel -- Queens","XX HOSPITALITY LLC","Queens","Family Commercial Hotel","94","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","18755","Bld ID: 18755 -- Traveler's Safe Haven, Urban Pathways, Safe Haven -- Manhattan","X EIGHTH AVENUE LLC","Manhattan","Safe Haven","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1020","Bld ID: 1020 -- CAMBA/Atlantic House Men's Shelter, CAMBA, Adult Shelter -- Brooklyn","X ATLANTIC HOLDING","Brooklyn","Adult Shelter","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1658","Bld ID: 1658 -- BRC Bowery Safe Haven, Bowery Residents Committee, Inc., Safe Haven -- Manhattan","G F ASSOCIATES 1, LP","Manhattan","Safe Haven","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","223532","Bld ID: 223532 -- CHRISTOPHERS PLACE, BRONX PARENT HOUSING NETWORK, Family Shelter -- Bronx","X WASHINGTON AVENUE LLC","Bronx","Family Shelter","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1041","Bld ID: 1041 -- VOA FAMILY RESIDENCE, Volunteers Of America, Family Shelter -- Bronx","EAST 175TH ST HSG DEV CP","Bronx","Family Shelter","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1392","Bld ID: 1392 -- BRONX BRIDGE 1, Kalman Tabak, Family Shelter -- Bronx","X EAST TREMONT LLC","Bronx","Family Shelter","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","141312","Bld ID: 141312 -- NAICA I, NAICA, Adult Commercial Hotel -- Manhattan","LBW ENTERPRISES, LLC.","Manhattan","Adult Commercial Hotel","149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1613","Bld ID: 1613 -- Fane Women's Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter -- Manhattan","X WEST 135 LLC","Manhattan","Adult Shelter","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1006","Bld ID: 1006 -- CAMBA/Broadway House, CAMBA, Adult Shelter -- Brooklyn","X BROADWAY REALTY, LLC","Brooklyn","Adult Shelter","201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1383","Bld ID: 1383 -- GRAND CONCOURSE RESIDENCE, Home/Life Services, Inc., Adult Family Shelter -- Bronx","CONCOURSE RES HOTEL","Bronx","Adult Family Shelter","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","223489","Bld ID: 223489 -- Audubon Womens Shelter, HELP, USA, Adult Shelter -- Manhattan","X AUDUBON HOLDINGS LLC","Manhattan","Adult Shelter","153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0"
"2022-12-01T00:00:00.000","18795","Bld ID: 18795 -- HELP SEC, HELP, USA, Adult Shelter -- Manhattan","NYC Owned (Parks)","Manhattan","Adult Shelter","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","138639","Bld ID: 138639 -- Pamoja  Employment Men's Shelter, Black Veterans for Social Justice, Adult Commercial Hotel -- Brooklyn","NEW P & S REALTY CORP","Brooklyn","Adult Commercial Hotel","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"2022-12-01T00:00:00.000","527617","Bld ID: 527617 -- Blue Sky Residence, Bowery Residents Committee, Inc.,  -- Queens","0","Queens","Adult Family Shelter","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","185392","Bld ID: 185392 -- LAGUARDIA FAMILY RESIDENCE, WOMEN IN NEED, INC, Family Shelter -- Queens","BROADWAY-SKYWAY LAGUARDIA CO","Queens","Family Shelter","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1623","Bld ID: 1623 -- Jack Ryan Residence, Bowery Residents Committee, Inc., Adult Shelter // BRC Reception, Bowery Residents Committee, Inc., Safe Haven -- Manhattan","X West 25th Group LLC","Manhattan","Adult Shelter","296","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1245","Bld ID: 1245 -- TILDEN HALL FAMILY RESID, Highland Park Development Corp., Family Shelter -- Brooklyn","X TILDEN FEE LLC","Brooklyn","Family Shelter","117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1608","Bld ID: 1608 -- Kenton, Project Renewal, Adult Shelter -- Manhattan","NYC Owned (DHS)","Manhattan","Adult Shelter","108","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","507971","Bld ID: 507971 -- Rising Up Men's Shelter, CAMBA, Adult Shelter -- Brooklyn","X AN ST, LLC","Brooklyn","Adult Shelter","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1032","Bld ID: 1032 -- JAMAICA RESIDENCE, NYC Department Of Homeless Services, Family Shelter -- Queens","NYC Owned (DHS)","Queens","Family Shelter","60","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","1","2","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","547072","Bld ID: 547072 -- 49th Street Residence, Samaritan Daytop Village, Adult Commercial Hotel -- Queens","EXCLUSIVE HOSPITALITY","Queens","Adult Commercial Hotel","138","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2022-12-01T00:00:00.000","504064","Bld ID: 504064 -- Metropolitan Reasonable Accommodation, Acacia Network Housing, Adult Commercial Hotel -- Brooklyn","UNION HOTEL PARK LLC","Brooklyn","Adult Commercial Hotel","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1604","Bld ID: 1604 -- Ft. xxx Armory, Project Renewal, Adult Shelter -- Manhattan","NYC Owned (DHS)","Manhattan","Adult Shelter","197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2022-12-01T00:00:00.000","524033","Bld ID: 524033 -- Sleep Inn xx, Acacia Network Housing, Adult Commercial Hotel -- Brooklyn","RATAN STILLWELL L.L.C","Brooklyn","Adult Commercial Hotel","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","63489","Bld ID: 63489 -- THE KENSINGTON, CAMBA, Family Shelter -- Brooklyn","1015/125 HOLDING LLC","Brooklyn","Family Shelter","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1621","Bld ID: 1621 -- xxxth Street Shelter, SERVICES FOR THE UNDERSERVED, Adult Shelter -- Manhattan","X W. 126TH STREET LLC","Manhattan","Adult Shelter","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1134","Bld ID: 1134 -- GLORIAS HOUSE, Samaritan Daytop Village, Family Shelter -- Bronx","THE BRONX APARTMENTS LLC","Bronx","Family Shelter","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","520960","Bld ID: 520960 -- Best Western, Acacia Network Housing, Adult Commercial Hotel -- Queens","STERLING & CIE, LLC","Queens","Adult Commercial Hotel","162","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1050","Bld ID: 1050 -- UNIVERSITY FAM CTR, Volunteers Of America, Family Shelter -- Bronx","NYC Owned (DHS)","Bronx","Family Shelter","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"2022-12-01T00:00:00.000","58891","Bld ID: 58891 -- Comunilife Safe Haven II, Comunilife, Safe Haven -- Bronx","PEPO REALTY CORP","Bronx","Safe Haven","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","535041","Bld ID: 535041 -- MANOR, Midway Living Inc, Family Shelter -- Brooklyn","MARCY TOWER LLC","Brooklyn","Family Shelter","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1555","Bld ID: 1555 -- PULASKI FAMILY RESIDENCE, Overcoming-Love Ministries, Family Shelter -- Brooklyn","OVERCOMING LOVE MINIS","Brooklyn","Family Shelter","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1579","Bld ID: 1579 -- Frxx HOTEL, Acacia Network Housing, Family Shelter -- Manhattan","FRANT HOTEL LLC","Manhattan","Family Shelter","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1244","Bld ID: 1244 -- STAR BRIGHT RESIDENCE, Home/Life Services, Inc., Adult Family Shelter -- Brooklyn","E&M ASSOCIATES I LLC","Brooklyn","Adult Family Shelter","173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1283","Bld ID: 1283 -- FLAGSTONE FAMILY RESIDENCE, CAMBA, Family Shelter -- Brooklyn","AMBOY DEVELOPMENT EAST LLC","Brooklyn","Family Shelter","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","514481","Bld ID: 514481 -- Breaking Ground, Breaking Ground, Safe Haven -- Manhattan","LTHRN SNS CENT","Manhattan","Safe Haven","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1331","Bld ID: 1331 -- HAMILTON FAMILY RESIDENCE, HELP, USA, Family Shelter -- Manhattan","R.L.S.A. REALTY CORP.","Manhattan","Family Shelter","155","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1242","Bld ID: 1242 -- FLUSHING AVENUE, SCO Family Services, Family Shelter -- Brooklyn","DWN MANAGEMENT INC","Brooklyn","Family Shelter","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","203032","Bld ID: 203032 -- The Park Residence, CAMBA, Family Shelter -- Bronx","X PARK DEVELOPMENT","Bronx","Family Shelter","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022-12-01T00:00:00.000","1366","Bld ID: 1366 -- CROSS BRONX RESIDENCE, Ben Berger, Family Shelter -- Bronx","CROSS BRONX RESIDENCE INC","Bronx","Family Shelter","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
