propertyna,latitude,longitude,borough
St. Vartan Park,40.745147,-73.97332,Manhattan
Hero Park,40.630297,-74.087176,Staten Island
Tudor Park,40.67328,-73.8547,Queens
Playground of the Americas,40.72807,-74.002756,Manhattan
Bill Brown Playground,40.591761,-73.945596,Brooklyn
Commodore Barry Park,40.697127,-73.978467,Brooklyn
Coney Island Beach & Boardwalk,40.575402,-73.956085,Brooklyn
Jacob H. Schiff Playground,40.821058,-73.952357,Manhattan
Francis Lewis Park,40.796277,-73.824508,Queens
Curtis Playground,40.64075,-73.917476,Brooklyn
St. Catherine's Park,40.765049,-73.958912,Manhattan
Central Park,40.775604,-73.965477,Manhattan
Clark Playground,40.813657,-73.921181,Bronx
Bronx River Parkway,40.872945,-73.871056,Bronx
Little Bay Park,40.790517,-73.781968,Queens
Corlears Hook Park,40.711203,-73.980381,Manhattan
John V. Lindsay East River Park,40.711614,-73.977452,Manhattan
Red Hook Recreation Area,40.672382,-74.004045,Brooklyn
John V. Lindsay East River Park,40.724404,-73.972254,Manhattan
Flushing Meadows Corona Park,40.750843,-73.834568,Queens
Imagination Playground,40.706186,-74.003964,Manhattan
Park Of The Americas,40.748531,-73.861709,Queens
Silver Lake Park,40.631161,-74.095617,Staten Island
Parade Ground,40.651257,-73.968994,Brooklyn
Schmul Park,40.589705,-74.187095,Staten Island
Spring Creek Park,40.648982,-73.872999,Brooklyn
Van Cortlandt Park,40.906941,-73.896,Bronx
City Line Park,40.678681,-73.873952,Brooklyn
Freshkills Park,40.561302,-74.197247,Staten Island
Beach 30th Street Playground,40.592593,-73.76172,Queens
Bushwick Inlet Park,40.722273,-73.961833,Brooklyn
Cambria Playground,40.688558,-73.742434,Queens
Central Park,40.797062,-73.951457,Manhattan
Fort Greene Park,40.692342,-73.977257,Brooklyn
100% Playground,40.64654,-73.899378,Brooklyn
Washington Square Park,40.730831,-73.998309,Manhattan
John V. Lindsay East River Park,40.716436,-73.975261,Manhattan
Lost Battalion Hall Recreation Center,40.731804,-73.865513,Queens
Harvey Park,40.782792,-73.823747,Queens
Van Voorhees Playground,40.689641,-73.999524,Brooklyn
Sol Bloom Playground,40.789408,-73.968933,Manhattan
Slope Park Playground,40.661317,-73.989317,Brooklyn
Nathan Straus Playground,40.719415,-73.984217,Manhattan
Flushing Meadows Corona Park,40.747709,-73.839266,Queens
Central Park,40.777559,-73.965109,Manhattan
Inwood Hill Park,40.871456,-73.921498,Manhattan
Rev. T. Wendell Foster Park and Recreation Center,40.831793,-73.925245,Bronx
Brigadier General Charles Young Playground,40.819451,-73.936372,Manhattan
Highbridge Park,40.842149,-73.933874,Manhattan
Prall Playground,40.628408,-74.118117,Staten Island
Grover Cleveland Playground,40.710143,-73.911111,Queens
Barretto Point Park,40.804642,-73.888913,Bronx
Crowley Playground,40.729329,-73.879805,Queens
Riverside Park,40.809902,-73.966922,Manhattan
Jackie Robinson Park,40.825868,-73.941328,Manhattan
Owl's Head Park,40.639385,-74.030824,Brooklyn
Fort Totten Park,40.795569,-73.777991,Queens
Petrosino Square,40.721641,-73.997447,Manhattan
Bath Beach Park,40.602585,-74.010973,Brooklyn
Greenwood Playground,40.649622,-73.976077,Brooklyn
Hunts Point Playground,40.814141,-73.886224,Bronx
Forest Park,40.702593,-73.86787,Queens
Franklin D. Roosevelt Boardwalk and Beach,40.569316,-74.089498,Staten Island
Haffen Park,40.873925,-73.838901,Bronx
Marcus Garvey Park,40.80449,-73.944907,Manhattan
Beach 17 Playground,40.594116,-73.750353,Queens
Metropolitan Recreation Center,40.715012,-73.960317,Brooklyn
Manhattan Beach Park,40.576573,-73.945431,Brooklyn
Dyker Beach Park,40.612726,-74.013,Brooklyn
Long Island Mews,40.736067,-73.890293,Queens
St. Mary's Park,40.813833,-73.912943,Bronx
Bronx Park,40.853046,-73.870565,Bronx
Prospect Park,40.665075,-73.972108,Brooklyn
Parade Ground,40.651334,-73.969383,Brooklyn
Central Park,40.779426,-73.968706,Manhattan
The High Line,40.739815,-74.008281,Manhattan
White Playground,40.791519,-73.945878,Manhattan
Haggerty Park,40.713024,-73.758066,Queens
Battery Park City,40.711958,-74.016869,Manhattan
Commodore Barry Park,40.69753,-73.977796,Brooklyn
Thomas Jefferson Park,40.793642,-73.93678,Manhattan
Franklin D. Roosevelt Boardwalk and Beach,40.592438,-74.063012,Staten Island
Stroud Playground,40.675099,-73.961835,Brooklyn
Bill Rainey Park,40.819476,-73.896673,Bronx
Macombs Dam Park,40.827188,-73.930328,Bronx
Hunter's Point South Park,40.738498,-73.961154,Queens
Coney Island Beach & Boardwalk,40.574003,-73.971464,Brooklyn
Morningside Park,40.802982,-73.95877,Manhattan
Alley Pond Park,40.741693,-73.747246,Queens
Lillian D Wald Playground,40.712181,-73.984403,Manhattan
Matthew P. Sapolin Playground,40.777679,-73.984144,Manhattan
Martin Luther Playground,40.645681,-74.019901,Brooklyn
Mount Prospect Park,40.671549,-73.967219,Brooklyn
Fort Washington Park,40.838964,-73.94603,Manhattan
McLaughlin Park,40.696515,-73.985935,Brooklyn
Vleigh Playground,40.729795,-73.816277,Queens
Bronx River Parkway,40.890777,-73.864041,Bronx
Battery Park City,40.716622,-74.014126,Manhattan
Rockaway Beach Boardwalk,40.586627,-73.799844,Queens
Asser Levy Park,40.574324,-73.972227,Brooklyn
Canarsie Park,40.629163,-73.8952,Brooklyn
Central Park,40.777631,-73.963971,Manhattan
Corporal John A. Seravalli Playground,40.73922,-74.004559,Manhattan
McCarren Park,40.720081,-73.94993,Brooklyn
College Point Fields,40.777231,-73.838107,Queens
Tiger Playground,40.688071,-73.911169,Brooklyn
Coney Island Beach & Boardwalk,40.572705,-73.982906,Brooklyn
Central Park,40.765452,-73.974956,Manhattan
Brevoort Playground,40.680142,-73.922566,Brooklyn
Flushing Meadows Corona Park,40.74455,-73.839873,Queens
Kissena Park,40.746109,-73.812066,Queens
Dean Playground,40.680706,-73.973397,Brooklyn
Asser Levy Playground,40.736683,-73.975355,Manhattan
Thomas Jefferson Park,40.79377,-73.936551,Manhattan
Asser Levy Playground,40.736143,-73.975668,Manhattan
Coney Island Boat Basin,40.581742,-73.991207,Brooklyn
Jacob Joffe Fields,40.624952,-73.919569,Brooklyn
Van Alst Playground,40.770481,-73.928313,Queens
Parade Ground,40.649093,-73.969617,Brooklyn
