neighborhood_tabulation_area_nta,latitude,longitude,boro
Hunters Point-Sunnyside-West Maspeth,40.742636,-73.912044,Queens
Springfield Gardens North,40.672663,-73.764196,Queens
Clinton,40.759107,-73.988579,Manhattan
Midtown-Midtown South,40.745756,-73.984529,Manhattan
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.687649,-73.980424,Brooklyn
Brownsville,40.66895,-73.90645,Brooklyn
Upper East Side-Carnegie Hill,40.766588,-73.963136,Manhattan
Washington Heights South,40.847197,-73.935148,Manhattan
Turtle Bay-East Midtown,40.758275,-73.96913,Manhattan
East Harlem North,40.796825,-73.937766,Manhattan
Central Harlem North-Polo Grounds,40.818897,-73.944659,Manhattan
Midtown-Midtown South,40.764823,-73.984099,Manhattan
Forest Hills,40.715758,-73.833513,Queens
Upper East Side-Carnegie Hill,40.772376,-73.958959,Manhattan
Astoria,40.755777,-73.923627,Queens
Westchester-Unionport,40.8349727,-73.8456956,Bronx
Hamilton Heights,40.828097,-73.949017,Manhattan
Clinton,40.755281,-73.991371,Manhattan
Turtle Bay-East Midtown,40.760644,-73.967101,Manhattan
Morningside Heights,40.805114,-73.966788,Manhattan
Hunts Point,40.826714,-73.891644,Bronx
Lenox Hill-Roosevelt Island,40.763691,-73.962235,Manhattan
East New York,40.676994,-73.898358,Brooklyn
Jackson Heights,40.748311,-73.878165,Queens
Upper West Side,40.790901,-73.974302,Manhattan
Upper West Side,40.790301,-73.972981,Manhattan
Midtown-Midtown South,40.753003,-73.979246,Manhattan
Crown Heights North,40.679561,-73.9355,Brooklyn
Yorkville,40.779601,-73.9443054,Manhattan
Kew Gardens,40.712653,-73.827724,Queens
Hamilton Heights,40.827195,-73.946043,Manhattan
Oakwood-Oakwood Beach,40.561755,-74.112161,Staten Island
Washington Heights South,40.837372,-73.938876,Manhattan
Hunts Point,40.817265,-73.897988,Bronx
Hunters Point-Sunnyside-West Maspeth,40.741882,-73.95448,Queens
West New Brighton-New Brighton-St. George,40.644811,-74.095456,Staten Island
Kingsbridge Heights,40.863665,-73.900512,Bronx
East Harlem North,40.799659,-73.938923,Manhattan
Murray Hill-Kips Bay,40.750237,-73.977306,Manhattan
Mott Haven-Port Morris,40.814394,-73.915181,Bronx
Queensbridge-Ravenswood-Long Island City,40.753718,-73.932216,Queens
Upper West Side,40.790235,-73.974793,Manhattan
Midtown-Midtown South,40.762593,-73.983077,Manhattan
Midtown-Midtown South,40.745126,-73.984639,Manhattan
West Concourse,40.81431,-73.930217,Bronx
Clinton,40.755878,-73.990933,Manhattan
Murray Hill-Kips Bay,40.745824,-73.980035,Manhattan
Flatbush,40.641858,-73.962836,Brooklyn
Rego Park,40.732391,-73.868198,Queens
Midtown-Midtown South,40.76221,-73.981881,Manhattan
Elmhurst,40.741991,-73.881065,Queens
Lenox Hill-Roosevelt Island,40.76777,-73.955691,Manhattan
West Village,40.729558,-74.002385,Manhattan
Elmhurst,40.746798,-73.891215,Queens
Turtle Bay-East Midtown,40.757417,-73.966528,Manhattan
Turtle Bay-East Midtown,40.751632,-73.970657,Manhattan
St. Albans,40.676288,-73.757908,Queens
Kingsbridge Heights,40.86908,-73.896,Bronx
Prospect Lefferts Gardens-Wingate,40.65774,-73.950407,Brooklyn
Murray Hill-Kips Bay,40.739528,-73.982489,Manhattan
North Side-South Side,40.706822,-73.950529,Brooklyn
Upper West Side,40.780942,-73.980966,Manhattan
Midtown-Midtown South,40.756638,-73.986634,Manhattan
East Village,40.728756,-73.987914,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.738074,-73.998319,Manhattan
Jackson Heights,40.747223,-73.888492,Queens
Upper West Side,40.783121,-73.980709,Manhattan
Jamaica,40.703895,-73.799018,Queens
St. Albans,40.682146,-73.766387,Queens
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,40.688039,-73.981872,Brooklyn
Central Harlem South,40.809437,-73.95184,Manhattan
Central Harlem North-Polo Grounds,40.817821,-73.942075,Manhattan
Turtle Bay-East Midtown,40.753149,-73.972868,Manhattan
Old Astoria,40.767433,-73.922687,Queens
Kingsbridge Heights,40.8681,-73.900706,Bronx
Melrose South-Mott Haven North,40.81738,-73.917078,Bronx
Upper East Side-Carnegie Hill,40.768649,-73.967597,Manhattan
Elmhurst,40.748595,-73.874203,Queens
Upper West Side,40.785813,-73.978293,Manhattan
Fordham South,40.85821,-73.902815,Bronx
Queensbridge-Ravenswood-Long Island City,40.752348,-73.9266,Queens
University Heights-Morris Heights,40.854346,-73.910218,Bronx
Turtle Bay-East Midtown,40.758113,-73.962914,Manhattan
Park Slope-Gowanus,40.672679,-73.983161,Brooklyn
Lincoln Square,40.777921,-73.981853,Manhattan
West Village,40.739677,-74.002735,Manhattan
Upper West Side,40.792804,-73.967704,Manhattan
East Village,40.726304,-73.986104,Manhattan
Midtown-Midtown South,40.757734,-73.975434,Manhattan
Richmond Hill,40.699754,-73.831609,Queens
Turtle Bay-East Midtown,40.75882,-73.968417,Manhattan
East Harlem South,40.7918799,-73.9357352,Manhattan
Jackson Heights,40.748975,-73.89107,Queens
East Harlem North,40.798786,-73.939765,Manhattan
Hamilton Heights,40.827196,-73.946441,Manhattan
Crown Heights North,40.678818,-73.949579,Brooklyn
East Village,40.724398,-73.990603,Manhattan
Hudson Yards-Chelsea-Flatiron-Union Square,40.742126,-73.993522,Manhattan
Midtown-Midtown South,40.747391,-73.986183,Manhattan
Upper West Side,40.784423,-73.979796,Manhattan
Forest Hills,40.720245,-73.844644,Queens
Prospect Heights,40.67854,-73.96373,Brooklyn
Brownsville,40.65854,-73.90035,Brooklyn
Rosedale,40.6717,-73.73323,Queens
Gramercy,40.737373,-73.981159,Manhattan
Central Harlem South,40.807818,-73.94583,Manhattan
Brownsville,40.668898,-73.915594,Brooklyn
Hamilton Heights,40.827117,-73.949738,Manhattan
Jackson Heights,40.747729,-73.883665,Queens
Washington Heights North,40.857212,-73.927576,Manhattan
Turtle Bay-East Midtown,40.754512,-73.971876,Manhattan
Lenox Hill-Roosevelt Island,40.762147,-73.963354,Manhattan
Morningside Heights,40.808041,-73.96421,Manhattan
Melrose South-Mott Haven North,40.817141,-73.916208,Bronx
East Harlem South,40.789608,-73.946262,Manhattan
Woodhaven,40.692607,-73.856454,Queens
Gramercy,40.736789,-73.984486,Manhattan
Murray Hill-Kips Bay,40.743384,-73.982039,Manhattan
Murray Hill-Kips Bay,40.748287,-73.976535,Manhattan
Central Harlem South,40.801949,-73.949259,Manhattan
New Dorp-Midland Beach,40.57285,-74.107539,Staten Island
East Williamsburg,40.70506,-73.942918,Brooklyn
Astoria,40.761089,-73.923341,Queens
Midtown-Midtown South,40.761142,-73.98309,Manhattan
Upper West Side,40.780993,-73.981523,Manhattan
East Tremont,40.846522,-73.893398,Bronx
Bushwick South,40.699475,-73.935843,Brooklyn
Chinatown,40.716033,-73.9993,Manhattan
Crown Heights South,40.665417,-73.953627,Brooklyn
East Harlem South,40.792394,-73.94423,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.74112,-73.93453,Queens
Upper West Side,40.797702,-73.969244,Manhattan
Longwood,40.823858,-73.89396,Bronx
Upper West Side,40.794673,-73.970051,Manhattan
Midtown-Midtown South,40.74534,-73.982768,Manhattan
Mount Hope,40.8478,-73.912137,Bronx
Hudson Yards-Chelsea-Flatiron-Union Square,40.74351,-73.992508,Manhattan
West Village,40.731887,-74.001194,Manhattan
Jamaica,40.702734,-73.802019,Queens
Hunters Point-Sunnyside-West Maspeth,40.747075,-73.942792,Queens
Central Harlem North-Polo Grounds,40.823124,-73.938202,Manhattan
Clinton,40.758482,-73.993016,Manhattan
Astoria,40.762464,-73.926262,Queens
Ocean Hill,40.678036,-73.90762,Brooklyn
Hudson Yards-Chelsea-Flatiron-Union Square,40.742548,-73.993209,Manhattan
Lenox Hill-Roosevelt Island,40.76191,-73.960153,Manhattan
Crown Heights North,40.670647,-73.950352,Brooklyn
East Village,40.729449,-73.984309,Manhattan
Morningside Heights,40.805923,-73.965081,Manhattan
Gramercy,40.737597,-73.98389,Manhattan
Midtown-Midtown South,40.760718,-73.984634,Manhattan
Lincoln Square,40.776069,-73.983633,Manhattan
Manhattanville,40.814539,-73.95528,Manhattan
Central Harlem North-Polo Grounds,40.816298,-73.946558,Manhattan
East Williamsburg,40.702247,-73.942287,Brooklyn
Carroll Gardens-Columbia Street-Red Hook,40.6781059,-74.0142949,Brooklyn
Astoria,40.766386,-73.920459,Queens
Murray Hill-Kips Bay,40.741225,-73.978935,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.746639,-73.944138,Queens
Hamilton Heights,40.829662,-73.948422,Manhattan
Marble Hill-Inwood,40.866152,-73.925806,Manhattan
Washington Heights North,40.849698,-73.933322,Manhattan
Morrisania-Melrose,40.823926,-73.908549,Bronx
Morrisania-Melrose,40.822519,-73.91069,Bronx
North Side-South Side,40.7099,-73.96244,Brooklyn
Washington Heights South,40.84727,-73.935362,Manhattan
Upper West Side,40.798538,-73.969279,Manhattan
Hunters Point-Sunnyside-West Maspeth,40.744278,-73.930399,Queens
Upper East Side-Carnegie Hill,40.784663,-73.949874,Manhattan
SoHo-TriBeCa-Civic Center-Little Italy,40.727978,-74.006987,Manhattan
Brooklyn Heights-Cobble Hill,40.69158,-73.991189,Brooklyn
Chinatown,40.717168,-73.999079,Manhattan
Cypress Hills-City Line,40.684061,-73.870537,Brooklyn
Astoria,40.758221,-73.91723,Queens
Elmhurst-Maspeth,40.737777,-73.883978,Queens
SoHo-TriBeCa-Civic Center-Little Italy,40.723118,-74.008139,Manhattan
Bushwick South,40.70214,-73.93532,Brooklyn
Lincoln Square,40.775357,-73.980161,Manhattan
